author,comment,normalized_comment,likes,published_at,reply_count,time,relevance/keep for review,low_content,duplicate,other(notes),kategorisierung,vergleich,distinktheit,repräsentation,stereotypen,identität,position,fragment,sagbarkeitsfeld,macht_wissen,fantasy_booking
@7dream7scape7,💜,💜,0,2024-04-28T10:11:19Z,0,,0,1,0,,,,,,,,,,,,
@FeartheBabaYaga,I was there live in St. Louis when he won the AEW World Championship. Glad to see he will be a fighting champion.,i was there live in st. louis when he won the aew world championship. glad to see he will be a fighting champion.,0,2024-04-28T10:12:58Z,0,,1,0,0,,0,0,1,0,0,1,1,0,0,0,0
@Spawnwick_Boseman82820,"@@seanbonella don't cry, obscure","@seanbonell a don't cry, obscure",2,2024-04-28T10:14:20Z,0,,0,0,0,bezug auf z.327 @seanbonella,,,,,,,,,,,
@tmaloy87,AEW is Swerves' house,aew is swerves' house,0,2024-04-28T10:16:03Z,0,,1,0,0,inhaltliche dopplung,0,0,0,0,0,1,1,0,0,0,0
@EdgarOlivas-r1r,Segment cheesy af lol,segment cheesy af lol,1,2024-04-28T10:25:30Z,1,,1,0,0,,0,0,0,0,0,0,3,0,0,0,0
@LukeH689,So i've been gone a minute.... Where did AEW's crowds go?!,so i've been gone a minute.... where did aew's crowds go?!,2,2024-04-28T10:26:47Z,1,,0,0,0,,,,,,,,,,,,
@keithcaldwell1871,Too bad AEW is going to take his title and give it to the white guy😂,too bad aew is going to take his title and give it to the white guy😂,1,2024-04-28T10:28:06Z,0,,1,0,0,bezug auf z.38 @Spawnwick_Boseman82820,1,0,0,1,1,1,3,0,0,1,0
@Kmick37,Swerve is the real one from undesirable to undeniable,swerve is the real one from undesirable to undeniable,9,2024-04-28T10:38:09Z,0,,1,0,0,,0,1,1,0,0,1,1,0,0,0,0
@santosortiz7753,I like Swerve. Too bad No one seen his speech. AEW poor ratings and attendance is horrible. AEW SUCKS!!!,i like swerve. too bad no one seen his speech. aew poor ratings and attendance is horrible. aew sucks!!!,1,2024-04-28T10:40:25Z,0,,1,0,0,,0,1,0,0,0,0,3,zuschauer*innenzahlen,0,0,0
@joseroselli1034,Jason Statham is finally All Elite,jason statham is finally all elite,2,2024-04-28T10:46:03Z,0,,0,0,0,,,,,,,,,,,,
@torres97jds,"Damn, Aew is getting more boring every passing day","damn, aew is getting more boring every passing day",1,2024-04-28T10:48:36Z,0,,0,0,0,,,,,,,,,,,,
@Spawnwick_Boseman82820,I like both but to everyone else... them's fightin' words,i like both but to everyone else... them's fightin' words,0,2024-04-28T10:55:34Z,0,,1,0,0,wen meint both? Swerve und claudio? Evtl als lob für Swerve zu verstehen? Im sinne von er wird jetzt auf einem anderen level agieren und euch zeigen was er draufhat?,0,1,1,0,0,1,1,0,0,0,0
@ass_eating_man,"Swerve when i come on... Ratings dive
When i come on ...ratings dive
When i come on.....ratings dive.

This is the sub 700k era.",swerve when i come on... ratings dive when i come on ...ratings dive when i come on.....ratings dive. this is the sub 700k era.,0,2024-04-28T11:07:38Z,0,,1,0,0,umbenannt in Clout_chasing_boy,0,1,0,0,0,0,3,einschaltquoten und swerve,0,0,0
@thesneakysquid,Defending on collision aew with that low rent booking,defending on collision aew with that low rent booking,0,2024-04-28T11:10:48Z,0,,1,0,0,inhaltliche dopplung,0,1,0,0,0,0,3,booking qualität bei collision,0,0,0
@dashingdreww1185,Didn’t Claudio just lose to Will Ospreay ??? Make the booking make sense 😭😭😭😂😂😂,didn’t claudio just lose to will ospreay ??? make the booking make sense 😭😭😭😂😂😂,0,2024-04-28T11:12:07Z,0,,0,0,0,,,,,,,,,,,,
@ass_eating_man,Stop speaking the truth on this youtube channel. Support this SHIT SHOW. 😂😂​@@nickcrawford2456,stop speaking the truth on this youtube channel. support this shit show. 😂😂 @nickcrawford2456,0,2024-04-28T11:12:29Z,0,,0,0,0,"kommentar nicht mehr auffindbar, möglicherweise gelöscht, daher ausgeschlossen, zuordnung zu anderem kommentar wäre zu spekulativ",,,,,,,,,,,
@AdrianBeegoatz,"This was the vibe we should have had on Wednesday, instead of starting with the Best Friends and then focusing on that absurd Bucks angle at the end … 🤦🏻‍♂️","this was the vibe we should have had on wednesday, instead of starting with the best friends and then focusing on that absurd bucks angle at the end … 🤦🏻♂️",1,2024-04-28T11:19:01Z,0,,1,0,0,,0,1,0,0,0,0,3,showstruktur,0,0,0
@binaffleck3160,Best belt in Pro Wrestling hope they never change it,best belt in pro wrestling hope they never change it,0,2024-04-28T11:22:04Z,0,,0,0,0,,,,,,,,,,,,
@tlplante1,Shouting out Willow Nightingale first thing was solid!,shouting out willow nightingale first thing was solid!,0,2024-04-28T11:23:09Z,0,,1,0,0,,0,0,0,1,0,1,1,0,0,0,0
@keepingyouinthemix1333,That GUY!!! 🐐 Keep it going KING!!!,that guy!!! 🐐 keep it going king!!!,1,2024-04-28T11:45:58Z,0,,1,0,0,,0,0,0,1,0,1,1,0,0,0,0
@leosimoes7759,So we really gonna pretend that  is his first appeareance after winning the title?😅😅,so we really gonna pretend that is his first appeareance after winning the title?😅😅,1,2024-04-28T11:58:54Z,0,,1,0,0,,0,0,0,0,0,0,3,platzierung,0,1,0
@mancavetheater1240,My new #1😎,my new #1😎,0,2024-04-28T11:59:02Z,0,,1,0,0,,0,0,0,1,0,0,1,0,0,0,0
@gilbertoaleman1810,Man! Next night Tony was on the draft.,man! next night tony was on the draft.,0,2024-04-28T12:00:37Z,0,,0,0,0,,,,,,,,,,,,
@gravy039,Swerve is a terrible promo lol,swerve is a terrible promo lol,1,2024-04-28T12:13:41Z,0,,0,0,1,,,,,,,,,,,,
@HelloNow,Swerve Strickland looks great!,swerve strickland looks great!,0,2024-04-28T12:14:30Z,0,,1,0,0,,0,0,0,0,0,1,1,0,0,0,0
@SoulFistGaming,i love that swerve dresses like a super villain,i love that swerve dresses like a super villain,0,2024-04-28T12:14:40Z,0,,1,0,0,,0,0,0,0,0,1,1,0,0,0,0
@jackluvstoplay4638,I dont like Samoa Joe's short title reign. Somoa joe looked great as champion,i dont like samoa joe's short title reign. somoa joe looked great as champion,0,2024-04-28T12:14:54Z,0,,0,0,0,,,,,,,,,,,,
@P.S.taker7,Why wasn’t this on TV that people actually watch,why wasn’t this on tv that people actually watch,0,2024-04-28T12:17:47Z,1,,0,0,1,inhaltliche dopplung,,,,,,,,,,,
@gwom45,This is the segment that should’ve been on dynamite were they get most of their viewers,this is the segment that should’ve been on dynamite were they get most of their viewers,0,2024-04-28T12:28:23Z,0,,1,0,0,,0,0,0,1,0,0,3,zuschauer*innenzahlen,0,1,0
@westernsellers9148,Should have had a promo on Dynamite but oh well,should have had a promo on dynamite but oh well,0,2024-04-28T12:31:04Z,0,,0,0,1,,,,,,,,,,,,
@chuckygee6245,No lie AEW has the best looking world title belt in the game right now!,no lie aew has the best looking world title belt in the game right now!,5,2024-04-28T12:38:13Z,0,,0,0,0,,,,,,,,,,,,
